subject_id	gender	age	trial	cse_id	priority	domain	keyword	response	y	cse_sentence	note
s01f2	여	20대	1	cse001	필수	식음료	밥	O	1	계란이랑 햄을 사서 볶음밥을 하려고 한다.	
s01f2	여	20대	2	cse031	주변	주거와생활	날씨	X	0	태풍 이름들이 이상하다며 누가 짓는 건지 궁금해하고 있다.	
s01f2	여	20대	3	cse011	필수	주거와생활	집	O	1	살고 있는 아파트 담보대출을 받아서 집 문제를 해결하려고 한다.	
s01f2	여	20대	4	cse041	주변	여가생활	게임	X	0	게임 내의 클럽을 보유한 지인에게 가입 의사를 밝혔다.	일반적으로 많은 사람들이 겪지 않는 상식인 것 같습니다.
s01f2	여	20대	5	cse021	필수	상거래	옷	O	1	옷을 사러 가야해서 평일과 주말 중 가능한 시간에 대해 이야기한다.	
s01f2	여	20대	6	cse051	주변	미용과건강	다이어트	O	1	다이어트(다요트) 식단으로 고구마, 계란, 바나나를 먹고 있으며, 목표 체중은 48이다.	다이어트를 한다면 먹는 기본적으로 떠오르는 음식들에 대해서 학습할 필요가 있을 것 같습니다.
s01f2	여	20대	7	cse002	필수	식음료	밥	O	1	무생채가 있으니 밥을 비벼 먹을까 한다.	
s01f2	여	20대	8	cse012	필수	주거와생활	집	X	0	집을 알아봤는데 집값이 올랐다는 것이 피부로 느껴졌다.	
s01f2	여	20대	9	cse022	필수	상거래	옷	O	1	배송 온 옷을 입어보고 앞으로 어떻게 입고 다닐지에 대해 이야기한다.	
s01f2	여	20대	10	cse032	주변	주거와생활	날씨	X	0	태풍의 영향 때문에 형광등이 깜박거린다고 한다.	
s01f2	여	20대	11	cse042	주변	여가생활	게임	X	0	오늘 것은 내 취향이 아닌 것 같은데 기본 카드게임에 스토리가 있는 것 같다.	
s01f2	여	20대	12	cse059	주변	미용과건강	다이어트	O	1	다이어트 2일차인데 작심삼일이 아니고 이번에는 진짜이다.	
