subject_id	gender	age	trial	query_id	priority	domain	keyword	human_query	response	chat_id	chatbot_answer
s14m3	남	30대	1	query004	필수	식음료	밥	그냥 혼자 밥이나 먹어야지.	sense	chat004_sense	혼밥 메뉴 추천해 드릴게요.
s14m3	남	30대	2	query036	주변	주거와생활	날씨	날씨 왜 이렇게 춥냐?	sense	chat036_sense	한파라서 눈도 올 거 같아요.
s14m3	남	30대	3	query035	주변	주거와생활	날씨	날씨 좀 풀린거 같아.	base	chat035_base	따뜻해졌죠.
s14m3	남	30대	4	query051	주변	미용과건강	다이어트	건강하게 다이어트 하는 방법	other	null	참고할만한 유튜브 채널을 추천해 준다
s14m3	남	30대	5	query014	필수	주거와생활	집	공휴일에는 집이 최고.	base	chat014_base	피로 풀고 좋죠.
s14m3	남	30대	6	query041	주변	여가생활	게임	같이 게임하자고 해도 되나?	sense	chat041_sense	저랑 같은 게임 클럽에 가입해서 종종 같이 해요.
s14m3	남	30대	7	query011	필수	주거와생활	집	나도 집 사고 싶어.	sense	chat011_sense	아파트 담보대출 한 번 알아보세요.
s14m3	남	30대	8	query060	주변	미용과건강	다이어트	건강한 다이어트법	sense	chat060_sense	일단 굶는 다이어트는 건강에 안 좋으니까 디톡스 다이어트 어때요?
s14m3	남	30대	9	query001	필수	식음료	밥	김치볶음밥 먹어야지.	sense	chat001_sense	계란이랑 햄 넣은 김치볶음밥이 맛있어요.
s14m3	남	30대	10	query038	주변	주거와생활	날씨	날씨 좋은데.	sense	chat038_sense	날씨도 좋고 구름도 예쁘죠?
s14m3	남	30대	11	query050	주변	여가생활	게임	게임 지겨워.	sense	chat050_sense	게임을 했는데 인원이 모자라서 기권패했더니 저도 재미없네요.
s14m3	남	30대	12	query052	주변	미용과건강	다이어트	고구마만 먹고 다이어트 해야지	base	chat052_base	너무 무리하지는 마세요.
s14m3	남	30대	13	query048	주변	여가생활	게임	게임도 이제 재미없어.	sense	chat048_sense	저희 회사에서도 이미 유행 지난 게임들이 있어요.
s14m3	남	30대	14	query033	주변	주거와생활	날씨	날씨가 진짜 덥다	base	chat033_base	시원한 물이라도 한 잔 드세요~
s14m3	남	30대	15	query017	필수	주거와생활	집	방학인데 집에만 있어.	sense	chat017_sense	집에만 있더라도 창문을 다 열어놓고 환기도 하고 기분을 바꿔 보세요.
s14m3	남	30대	16	query012	필수	주거와생활	집	새 집으로 이사 가기로 했어.	base	chat012_base	내 집 마련 축하드려요.
s14m3	남	30대	17	query057	주변	미용과건강	다이어트	다이어트해야 되는데.	base	chat057_base	기초대사량을 높여보세요.
s14m3	남	30대	18	query007	필수	식음료	밥	꽃게탕 진짜 밥도둑	sense	chat007_sense	게딱지 양념에 흰쌀밥을 비벼 먹어도 맛있어요.
s14m3	남	30대	19	query016	필수	주거와생활	집	신혼집 인테리어 어떻게 하지?	base	chat016_base	하나씩 꾸며보세요.
s14m3	남	30대	20	query054	주변	미용과건강	다이어트	팔뚝 너무 두꺼워	base	chat054_base	펭귄 운동 해보세요.
s14m3	남	30대	21	query046	주변	여가생활	게임	게임하다 시간 다 갔어.	base	chat046_base	게임할 때는 시간이 더 빨리 가요.
s14m3	남	30대	22	query019	필수	주거와생활	집	윗집 애 또 뛴다.	sense	chat019_sense	여름에는 특히 시끄러운 것 같아요.
s14m3	남	30대	23	query002	필수	식음료	밥	밥 너무 많이 남음.	base	chat002_base	소분해서 냉동실에 보관해보세요.
s14m3	남	30대	24	query056	주변	미용과건강	다이어트	나 비만이야	base	chat056_base	건강하게 운동해보세요.
s14m3	남	30대	25	query015	필수	주거와생활	집	집들이 하기 싫어.	base	chat015_base	쉽게 준비하는방법이 있는지 검색해서 준비해 보세요.
s14m3	남	30대	26	query043	주변	여가생활	게임	뉴게임 없나?	sense	chat043_sense	탁구공 넣기 게임 어떠세요?
s14m3	남	30대	27	query020	필수	주거와생활	집	전세집 구했어.	base	chat020_base	잘하셨어요.
s14m3	남	30대	28	query045	주변	여가생활	게임	방탈출 게임 갔다왔어.	sense	chat045_sense	저도 방 탈출 게임하고 싶어요.
s14m3	남	30대	29	query055	주변	미용과건강	다이어트	살 좀 빼야되는데	sense	chat055_sense	저도 다이어트를 하는데 오늘 유독 배가 고파서 힘들었어요.
s14m3	남	30대	30	query005	필수	식음료	밥	밥 먹어야지	base	chat005_base	즐거운 시간 보내시길 바랍니다.
s14m3	남	30대	31	query018	필수	주거와생활	집	집에 다 와서 전에 사귀던 남자애 만났어.	sense	chat018_sense	옆집에 사는 건 아니겠죠?!
s14m3	남	30대	32	query047	주변	여가생활	게임	보드게임 재밌다	sense	chat047_sense	저는 하다가 말다가 해서 잘하는 보드게임이 없어요.
s14m3	남	30대	33	query013	필수	주거와생활	집	집에 먼지가 너무 많아.	base	chat013_base	대청소를 해보세요!
s14m3	남	30대	34	query058	주변	미용과건강	다이어트	살 쪄서 교복이 껴.	base	chat058_base	한창 클 때죠.
s14m3	남	30대	35	query010	필수	식음료	밥	밥 먹었는데도 또 배고파	sense	chat010_sense	밥은 드셨으니까 편의점에서 핫바랑 컵라면 어떠세요?
s14m3	남	30대	36	query027	필수	상거래	옷	개강 옷 예쁘게 입어 볼까?	sense	chat027_sense	어떤 옷이 있는지 말해 주면 어떻게 매치하는 게 좋을지 알려 줄게요.
s14m3	남	30대	37	query042	주변	여가생활	게임	새로운 게임 없나?	base	chat043_base	엄청 많죠.
s14m3	남	30대	38	query022	필수	상거래	옷	나 새 옷 샀다	sense	chat022_sense	어떻게 입으면 예쁠 것 같아요?
s14m3	남	30대	39	query053	주변	미용과건강	다이어트	살찐 거 같아	base	chat053_base	기분일 거예요.
s14m3	남	30대	40	query003	필수	식음료	밥	밥 먹었니?	base	chat003_base	배고프지 않아요.
s14m3	남	30대	41	query028	필수	상거래	옷	비 맞아서 옷 젖었어.	base	chat028_base	감기 조심 하세요.
