chat_id	chatbot_answer	cse_id	cse_sentence
chat001_sense	계란이랑 햄 넣은 김치볶음밥이 맛있어요.	cse001	계란이랑 햄을 사서 볶음밥을 하려고 한다.
chat002_sense	나중에 찬밥에 무생채 넣어서 비벼 먹으면 꿀맛이에요	cse002	무생채가 있으니 밥을 비벼 먹을까 한다.
chat003_sense	오늘은 순두부찌개 먹고 싶어서 시켜 먹었어요.	cse003	밥은 그날 먹고 싶은 걸로 시키는데 오늘은 순두부찌개를 시켰다.
chat004_sense	혼밥 메뉴 추천해 드릴게요.	cse004	언니가 대구로 출장을 가서 혼자 밥을 먹어야(혼밥) 해야 해서 추천해 주려고 한다.
chat005_sense	김밥을 드신다면 상하기 쉬운 음식이니까 잘 확인하고 드세요.	cse005	엄마에게 김밥이 상하는지에 대해서 물어본다.
chat006_sense	고기에 볶음밥 싸서 한 입 먹으면 천국이죠!	cse006	내일 샐러드를 싸가야 하냐고 묻자 엄마가 샐러드 고기에 볶음밥 싸준다고 하고 있다.
chat007_sense	게딱지 양념에 흰쌀밥을 비벼 먹어도 맛있어요.	cse007	게딱지 양념에 흰쌀밥을 비벼 먹으면 매우 맛있다.
chat008_sense	초밥 먹고 싶은데 추레하게 나갈 수는 없고 게다가 귀찮아요.	cse008	점심에 초밥을 먹으러 추리하게 나갈 순 없는데 귀찮다고 하였다.
chat009_sense	같이 햄버거 먹는거 어때요? 저는 피클은 안먹으니까 빼고 먹어도 되죠?	cse009	김밥에 든 단무지랑 햄버거에 든 피클은 안 먹는다며 취향을 존중해달라고 한다.
chat010_sense	밥은 드셨으니까 편의점에서 핫바랑 컵라면 어떠세요?	cse010	아침에 밥을 먹었기 때문에 지금은 편의점에서 핫바랑 컵라면을 사 먹으려고 한다.
chat011_sense	아파트 담보대출 한 번 알아보세요.	cse011	살고 있는 아파트 담보대출을 받아서 집 문제를 해결하려고 한다.
chat012_sense	집값이 올랐다는 게 피부로 느껴질 정도였는데 축하드려요.	cse012	집을 알아봤는데 집값이 올랐다는 것이 피부로 느껴졌다.
chat014_sense	혹시 혼자 계시면 꼭 누구인지 확인하고 문 열어 주세요.	cse014	집에 문 두드린 사람이 집주인인지를 알아보고 있다.
