cse_id	priority	domain	keyword	cse_sentence
cse001	필수	식음료	밥	계란이랑 햄을 사서 볶음밥을 하려고 한다.
cse002	필수	식음료	밥	무생채가 있으니 밥을 비벼 먹을까 한다.
cse003	필수	식음료	밥	밥은 그날 먹고 싶은 걸로 시키는데 오늘은 순두부찌개를 시켰다.
cse004	필수	식음료	밥	언니가 대구로 출장을 가서 혼자 밥을 먹어야(혼밥) 해야 해서 추천해 주려고 한다.
cse005	필수	식음료	밥	엄마에게 김밥이 상하는지에 대해서 물어본다.
cse006	필수	식음료	밥	내일 샐러드를 싸가야 하냐고 묻자 엄마가 샐러드 고기에 볶음밥 싸준다고 하고 있다.
cse007	필수	식음료	밥	게딱지 양념에 흰쌀밥을 비벼 먹으면 매우 맛있다.
cse008	필수	식음료	밥	점심에 초밥을 먹으러 추리하게 나갈 순 없는데 귀찮다고 하였다.
cse009	필수	식음료	밥	김밥에 든 단무지랑 햄버거에 든 피클은 안 먹는다며 취향을 존중해달라고 한다.
cse010	필수	식음료	밥	아침에 밥을 먹었기 때문에 지금은 편의점에서 핫바랑 컵라면을 사 먹으려고 한다.
cse011	필수	주거와생활	집	살고 있는 아파트 담보대출을 받아서 집 문제를 해결하려고 한다.
cse012	필수	주거와생활	집	집을 알아봤는데 집값이 올랐다는 것이 피부로 느껴졌다.
cse013	필수	주거와생활	집	집 근처에 공원은 많은데 철봉이 없어서 아쉽다.
cse014	필수	주거와생활	집	집에 문 두드린 사람이 집주인인지를 알아보고 있다.
cse015	필수	주거와생활	집	어차피 일 년 살 집이라 집들이는 안 할 거고, 대화 상대자가 오면 앉을 식탁과 의자를 사려 한다.
cse016	필수	주거와생활	집	나중에 넓은 집으로 이사가면 가짜 나무로 만든 트리를 만들고 싶다.
cse017	필수	주거와생활	집	집에서 오랜만에 창문을 다 열어놓고 환기를 하고 있다.
cse018	필수	주거와생활	집	같이 살면 많이 싸울 것 같다며 옆집에서 살자고 이야기하고 있다.
cse019	필수	주거와생활	집	여름에는 집이 너무 시끄러워서 살면 안 되겠다고 하자 호텔도 잠자리가 불편해서 잘 못 잤다는 이야기를 한다.
cse020	필수	주거와생활	집	후드가 고장이 났는데 교체해 주는 곳밖에 없어서 집주인께 이야기를 해야 할지 철물점에 수리를 알아봐야 하는지 고민하고 있다.
cse021	필수	상거래	옷	옷을 사러 가야해서 평일과 주말 중 가능한 시간에 대해 이야기한다.
cse022	필수	상거래	옷	배송 온 옷을 입어보고 앞으로 어떻게 입고 다닐지에 대해 이야기한다.
cse023	필수	상거래	옷	오늘도 H&M(흐앤므)에서 예쁘고 귀여운 옷을 샀다고하니 그만 사라고 한다.
cse024	필수	상거래	옷	옷 사기전에 보여주겠다는데 다음에는 여름 티가 시급해서 여름 티를 사려 한다.
cse025	필수	상거래	옷	구입할 옷의 색상을 보여 주고 고르고 있다.
cse026	필수	상거래	옷	주문한 옷이 집 앞에 택배로 와 있어야 하는데 없어서 전화해보려고 한다.
cse027	필수	상거래	옷	무슨 옷을 살 것인지 정하면 말해 준다고 한다.
cse028	필수	상거래	옷	마음에 드는 셔츠가 없어서 니트를 샀다며 옷에 대해 이야기하고 있다.
cse029	필수	상거래	옷	언니 옷을 사러 갔다가 가디건이랑 얇은 엘레쎄 니트를 구매했다.
cse030	필수	상거래	옷	언니가 코르덴 바지를 입기도 했고 최근에 꺼내 입었는데 너무 따뜻해서 좋아졌다.
cse031	주변	주거와생활	날씨	태풍 이름들이 이상하다며 누가 짓는 건지 궁금해하고 있다.
cse032	주변	주거와생활	날씨	태풍의 영향 때문에 형광등이 깜박거린다고 한다.
