subject_id	name_hash	gender	age
s01f2	0afac	여	20대
s02m2	9e826	남	20대
s03m2	ec07c	남	20대
s04m2	b680d	남	20대
s05f2	08df3	여	20대
s06m2	31594	남	20대
s07f2	1c6bf	여	20대
s08m2	09281	남	20대
s09m2	886f5	남	20대
s10f2	4c3a8	여	20대
s11f2	3c14d	여	20대
s12f2	ed879	여	20대
s13m3	39b81	남	30대
s14m3	f6b85	남	30대
s15m3	273a6	남	30대
s16f3	e0ef8	여	30대
s17f3	2fb22	여	30대
s18f3	0da6f	여	30대
s19f3	8bbaa	여	30대
s20f3	79045	여	30대
s21m3	e2a79	남	30대
s22m3	6083d	남	30대
s23m3	22377	남	30대
s24f3	ca38e	여	30대
s25f4	2b631	여	40대
s26m4	14442	남	40대
s27f4	e94fb	여	40대
s28f4	a8df0	여	40대
s29m4	6ae68	남	40대
s30m4	3fc53	남	40대
s31m5	c5448	남	50대
s32f5	f17e7	여	50대
s33f5	ca954	여	50대
s34f5	b1ba5	여	50대
s35m5	d9af0	남	50대
s36m6	3b08a	남	60대
