subject_id	gender	age	note
s14m3	남	30대	'ai의 경우에는 암기된 답변을 읊는 것 자체가 친밀감을 떨어뜨리는 것 같음'
s03m2	남	20대	'말을 건다는 건 상대에게 나를 요구하는 것인데, 질문들에 그런 부담이 느껴지지 않았다. 대화의 시작이 그러하므로 진행 역시 어색할 수밖에 없다. 사용자가 AI에게 사람과 같은 부담을 느끼지 않는다면, 사람과 같은 친근함 역시 느낄 수 없을 것이다.'
s23m3	남	30대	'정보를 구하는 질문이 있고 공감을 구하는 질문이 있는데, 그 둘을 바꿔서 대답해 주면 기분이 안 좋아지는 것 같습니다. 챗봇이 그걸 잘 파악하는 게 중요해 보여요.'
s25f4	여	40대	'내가 직접 경험한 것들이 더 친밀하게 느껴짐.'
s01f2	여	20대	''
s11f2	여	20대	''
s15m3	남	30대	''
s07f2	여	20대	''
s30m4	남	40대	'챗봇이라고 생각하니 사람이라고 생각할 때에 비해 좀더 유용한 정보를 포함해서 답변해 주는 것이 친밀하다고 생각된다.'
s04m2	남	20대	'(제시된 모든 유형이 그렇지는 않지만) 던져진 문장(혹은 질문)은 상대방(혹은 AI)에게 공감이나 감정적 지지를 원하는 문장과 객관적 사실에 대한 질문으로 나뉠 수 있을 것 같습니다. 또한, 대답 역시 상대방의 기분을 이해해 주거나 감정적 지지를 보내려는 유형과 객관적이고 정확한 사실이나 해결책을 알려 주려는 유형으로 구분될 수 있을 것 같습니다.\n예를 들어, 날씨에 대한 문장 중 A는 전자에 해당하고 B는 후자에 해당한다고 느꼈습니다.\nA - "마음도 춥고 날씨도 춥네", "날씨가 진짜 덥다"\nB - "내일 날씨 좋을까?"\n\'다이어트\'나 \'게임 중독\' 등에 대한 고민에는 감정적 지지가 담긴 답을 주는 것이 더욱 친밀감을 줄 수 있다고 느꼈습니다.\n또한, 대답 중에서는 긍정문이면서 대화가 끊기지 않고 다음 말을 이어갈 수 있는 대답이 더욱 좋다고 느꼈습니다.'
s13m3	남	30대	'단순히 사용자의 기분 상태를 확인하는 내용보다는 실용성 있는 내용의 답변이 더 좋아 보였다.'
s35m5	남	50대	''
s10f2	여	20대	''
s33f5	여	50대	''
s34f5	여	50대	'질문은 화두식이고 대답은 높임말이니 맥락이 조금씩 어색했다.'
s18f3	여	30대	'결정을 망설이는 질문에서는 더 나은 선택을 하도록 결정하도록 도와주는 답변이, 단순히 걱정만 하는 질문은 걱정을 덜도록 긍정적인 말(위로, 격려)을 해주는 답변이, 정보가 필요해 보이는 질문에는 구체적인 정보를 제시해주는 답변이 친밀하게 느껴졌습니다. '
s22m3	남	30대	''
s16f3	여	30대	'정보전달이 아닌 유형이 더 친밀하게 느껴졌다'
s21m3	남	30대	''
s27f4	여	40대	''
s26m4	남	40대	'자신의 주관적인 생각보다는 보편적인 답변이 더 친밀하게 느껴짐'
s19f3	여	30대	'자신에대한 부정적인 이야기에는 해결책 제시보다 위로가 보다 친숙한 답변인 듯합니다.'
s29m4	남	40대	''
s36m6	남	60대	''
s06m2	남	20대	'감성적인 측면과 정보 제공적인 부분을 함께 제공 할 수 있는 문장이 좋은 느낌을 줍니다.'
s20f3	여	30대	''
s28f4	여	40대	'몇가지 질문에 대한 답변을 제외하곤 구체적인 제안과 마음까지 공감해주는 표현들이 친밀감이 꽤 느껴지는 답변들인 것 같습니다~'
s24f3	여	30대	'공감을 하는 유형의 문장이 더 친밀하게 느껴졌습니다. '
s17f3	여	30대	''
s12f2	여	20대	'단순히 정보를 제공하려는 답변은 덜 친밀하게 느껴짐. '
s08m2	남	20대	''
s09m2	남	20대	''
s32f5	여	50대	"AI라고 생각 안 하고 친구와 편하게 대화한다고 생각하면 너무 정보를 주는 대답보다는 맞장구를 쳐 주거나 가벼운 조언, 제안도 적당히 섞여 있어야 하지 않나 생각합니다. 날씨, 먹는 것, 다이어트와 게임 관련된 질문이 많아서 질문의 범위가 좀 다양해지면 좋겠습니다. 엉뚱한 대답들도 하나씩 끼워 넣으면 재미있을 것 같습니다. '내일 비가 와야 하는데' 대답으로 '기우제를 지내 봅시다!' 라는 대답은 재미있었습니다. "
s05f2	여	20대	''
s31m5	남	50대	"질문에 대한 '대답'에 초점을 맞췄기 때문에 대답이 안 되는 어색한 답변도 있었습니다.  그리고 살문자의 성격도 중요할 것 같다는 생각을 했습니다.  타인과의 사회적 관계에 낙천적이면 긍정적 답변을 하는 경우도 있었습니다.  물론 응답이 적절한 쌍도 있었습니다."
s02m2	남	20대	''
